"Line","Fhb1","1RS:1AL","Lr34/Yr18","Sr24/Lr24","Tamyb10-B1","Tamyb10-D1","Fhb_3B_MASSEY","Yr15","Lr42","Glu-D1","Rht24","Ppd-B1_CS","Glu-A1","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-1","Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-10","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-11","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-12","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-13","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-14","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-15","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-16","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13_het","H13_het"
"2024-SUNWHEAT-17","Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-18","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-19","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-2","na","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-20","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-21","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-22","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-23","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","ND","UNIDENTIFIED"
"2024-SUNWHEAT-24","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","UNIDENTIFIED"
"2024-SUNWHEAT-25","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-26","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","ND","UNIDENTIFIED"
"2024-SUNWHEAT-27","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","UNIDENTIFIED"
"2024-SUNWHEAT-28","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13_het","UNIDENTIFIED"
"2024-SUNWHEAT-29","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24_het","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-3","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-30","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax2","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-31","Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-32","non-Fhb1","1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13_het","UNIDENTIFIED"
"2024-SUNWHEAT-33","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-34","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","non-H13b"
"2024-SUNWHEAT-35","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-36","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","Fhb_3B_MASSEY","non-Yr15","Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-37","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-38","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","Fhb_3B_MASSEY","non-Yr15","Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","non-H13b"
"2024-SUNWHEAT-39","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-4","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-40","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-41","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","ND","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-42","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-43","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","non-H13b"
"2024-SUNWHEAT-44","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-45","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","non-H13b"
"2024-SUNWHEAT-46","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-47","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-48","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-49","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-5","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-50","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-51","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-52","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-53","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-54","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","ND","non-Yr15","non-Lr42","het","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-55","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-56","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","Fhb_3B_MASSEY","non-Yr15","Lr42","5+10","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-57","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","ND","non-Yr15","non-Lr42","2+12","Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","H13_het","UNIDENTIFIED"
"2024-SUNWHEAT-58","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","ND","UNIDENTIFIED"
"2024-SUNWHEAT-59","Fhb1_het","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-6","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-60","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13_het","UNIDENTIFIED"
"2024-SUNWHEAT-61","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-62","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-63","Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-64","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-65","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-66","non-Fhb1","1RS:1AL_het","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","ND","non-Yr15","non-Lr42","het","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-67","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","het","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-68","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-69","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-7","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-70","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-71","non-Fhb1","1RS:1AL","non-Lr34/Yr18","Sr24/Lr24","r-B1_white","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-72","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-73","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-74","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-75","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-76","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-77","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24_het","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-78","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-79","na","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-8","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","non-H13b"
"2024-SUNWHEAT-80","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-81","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","Lr42","2+12","Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-82","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-83","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-84","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
"2024-SUNWHEAT-85","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-86","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","non-H13","UNIDENTIFIED"
"2024-SUNWHEAT-87","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-88","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","H13","H13b"
"2024-SUNWHEAT-89","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","ND","non-Yr15","Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","ND","UNIDENTIFIED"
"2024-SUNWHEAT-9","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","r-D1_white","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","2+12","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","ND","UNIDENTIFIED"
"2024-SUNWHEAT-90","Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","r-B1_white","R-D1","non-Fhb_3B_MASSEY","non-Yr15","Lr42","2+12","Rht24","UNIDENTIFIED","Ax1_or_null","Vrn-A1b","H13_het","UNIDENTIFIED"
"2024-SUNWHEAT-91","non-Fhb1","non-1RS:1AL","non-Lr34/Yr18","non-Sr24/Lr24","R-A1","R-D1","non-Fhb_3B_MASSEY","non-Yr15","non-Lr42","5+10","non-Rht24","non-Ppd-B1a_CS_insens","Ax1_or_null","Vrn-A1b","non-H13","non-H13b"
